run,direction,direction_family,positive_class,negative_class,positive_count,negative_count,raw_norm
eyepacs_cropped_dinov2_cropped_10k,any_dr,disease,true,false,2743,7257,3.0787808895111084
eyepacs_cropped_dinov2_cropped_10k,referable_dr,disease,true,false,2012,7988,4.296125888824463
eyepacs_cropped_dinov2_cropped_10k,severe_dr,disease,true,false,427,9573,8.240116119384766
eyepacs_cropped_dinov2_cropped_10k,sharpness,quality,high,low,2462,2567,10.026236534118652
eyepacs_cropped_dinov2_cropped_10k,brightness,quality,high,low,2444,2553,10.19483757019043
eyepacs_cropped_dinov2_cropped_10k,contrast,quality,high,low,2506,2501,8.057382583618164
eyepacs_cropped_dinov2_cropped_10k,black_border,quality,high,low,2528,2520,12.260132789611816
eyepacs_cropped_dinov2_cropped_10k,field_of_view,quality,high,low,2520,2529,12.260711669921877
eyepacs_cropped_dinov2_cropped_10k,laterality,anatomy,right,left,5000,5000,1.7845735549926758
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,any_dr,disease,true,false,2743,7257,2.944399118423462
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,referable_dr,disease,true,false,2012,7988,4.084209442138672
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,severe_dr,disease,true,false,427,9573,7.992262840270996
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,sharpness,quality,high,low,2462,2567,5.5797067034291103e-05
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,brightness,quality,high,low,2444,2553,8.122051239013672
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,contrast,quality,high,low,2506,2501,5.680881500244141
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,black_border,quality,high,low,2528,2520,10.043903350830078
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,field_of_view,quality,high,low,2520,2529,10.044936180114746
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,laterality,anatomy,right,left,5000,5000,9.43831037147902e-05
eyepacs_resized_dinov2_resized_10k,any_dr,disease,true,false,2743,7257,3.0704410076141357
eyepacs_resized_dinov2_resized_10k,referable_dr,disease,true,false,2012,7988,4.274580478668213
eyepacs_resized_dinov2_resized_10k,severe_dr,disease,true,false,427,9573,8.259660720825195
eyepacs_resized_dinov2_resized_10k,sharpness,quality,high,low,2462,2567,10.02017593383789
eyepacs_resized_dinov2_resized_10k,brightness,quality,high,low,2444,2553,10.33824062347412
eyepacs_resized_dinov2_resized_10k,contrast,quality,high,low,2506,2501,8.032964706420898
eyepacs_resized_dinov2_resized_10k,black_border,quality,high,low,2528,2520,12.516718864440918
eyepacs_resized_dinov2_resized_10k,field_of_view,quality,high,low,2520,2529,12.517070770263672
eyepacs_resized_dinov2_resized_10k,laterality,anatomy,right,left,5000,5000,1.7919999361038208
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,disease,true,false,2743,7257,2.931790828704834
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,disease,true,false,2012,7988,4.061636447906494
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,severe_dr,disease,true,false,427,9573,8.009847640991211
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,sharpness,quality,high,low,2462,2567,6.685177504550666e-05
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,brightness,quality,high,low,2444,2553,8.24474811553955
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,contrast,quality,high,low,2506,2501,5.615307331085205
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,black_border,quality,high,low,2528,2520,10.267616271972656
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,field_of_view,quality,high,low,2520,2529,10.268550872802734
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,laterality,anatomy,right,left,5000,5000,8.456758951069787e-05
eyepacs_resized_dinov2_resized_2k,any_dr,disease,true,false,508,1492,2.9100801944732666
eyepacs_resized_dinov2_resized_2k,referable_dr,disease,true,false,380,1620,3.8072938919067383
eyepacs_resized_dinov2_resized_2k,severe_dr,disease,true,false,79,1921,8.751420021057129
eyepacs_resized_dinov2_resized_2k,sharpness,quality,high,low,465,513,10.148144721984863
eyepacs_resized_dinov2_resized_2k,brightness,quality,high,low,478,500,10.864797592163086
eyepacs_resized_dinov2_resized_2k,contrast,quality,high,low,523,487,8.578368186950684
eyepacs_resized_dinov2_resized_2k,black_border,quality,high,low,528,497,12.69102382659912
eyepacs_resized_dinov2_resized_2k,field_of_view,quality,high,low,497,527,12.689263343811035
eyepacs_resized_dinov2_resized_2k,laterality,anatomy,right,left,1000,1000,2.0040743350982666
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,any_dr,disease,true,false,508,1492,2.758355617523194
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,referable_dr,disease,true,false,380,1620,3.716279983520508
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,severe_dr,disease,true,false,79,1921,8.510891914367676
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,sharpness,quality,high,low,465,513,7.246067523956299
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,brightness,quality,high,low,478,500,2.835801751643885e-05
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,contrast,quality,high,low,523,487,2.8408636353560723e-05
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,black_border,quality,high,low,528,497,10.5311279296875
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,field_of_view,quality,high,low,497,527,10.540142059326172
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,laterality,anatomy,right,left,1000,1000,1.7513972520828247
