baseline_run,intervention_run,intervention,removed_directions,target,target_family,baseline_auc,intervention_auc,auc_delta,baseline_max_projection_ratio,intervention_max_projection_ratio,projection_ratio_delta,intervention_direction_stability,notes
eyepacs_resized_dinov2_resized_2k,eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,remove_brightness_contrast,"brightness,contrast",any_dr,disease,0.6682402475200152,0.652323689834455,-0.0159165576855602,0.1012954310852798,0.1305511222199129,0.0292556911346331,0.9416270089149475,negative projection delta means less disease-to-bottleneck overlap
eyepacs_resized_dinov2_resized_2k,eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,remove_brightness_contrast,"brightness,contrast",referable_dr,disease,0.668235294117647,0.6667413632119514,-0.0014939309056956,0.0454782365635333,0.1080550968220137,0.0625768602584803,0.9610140538215636,negative projection delta means less disease-to-bottleneck overlap
eyepacs_resized_dinov2_resized_2k,eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,remove_brightness_contrast,"brightness,contrast",severe_dr,disease,0.8067305445197476,0.8226221079691516,0.015891563449404,0.0534637252495793,0.0502172141024468,-0.0032465111471325,0.9691080141067504,negative projection delta means less disease-to-bottleneck overlap
eyepacs_resized_dinov2_resized_2k,eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,remove_brightness_contrast,"brightness,contrast",removed_bottleneck_mean,bottleneck,0.9889065485495918,0.0901245688478622,-0.8987819797017296,,,,,negative AUC delta means removed bottlenecks are less decodable
eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,remove_sharpness_laterality,"sharpness,laterality",any_dr,disease,0.7311056019094127,0.729135771030254,-0.0019698308791586,0.0568710552260756,0.0820413602853342,0.0251703050592585,0.9902325010299684,negative projection delta means less disease-to-bottleneck overlap
eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,remove_sharpness_laterality,"sharpness,laterality",referable_dr,disease,0.8104089099754734,0.8048860118209964,-0.005522898154477,0.0544811049536599,0.0872855439451001,0.0328044389914402,0.9933299732208252,negative projection delta means less disease-to-bottleneck overlap
eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,remove_sharpness_laterality,"sharpness,laterality",severe_dr,disease,0.8812999239254469,0.8692944085203499,-0.0120055154050969,0.0350212858530198,0.0763562233608041,0.0413349375077842,0.9925152909755708,negative projection delta means less disease-to-bottleneck overlap
eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,remove_sharpness_laterality,"sharpness,laterality",removed_bottleneck_mean,bottleneck,0.9394356853738496,0.2199898309902787,-0.7194458543835707,,,,,negative AUC delta means removed bottlenecks are less decodable
eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,remove_sharpness_laterality,"sharpness,laterality",any_dr,disease,0.735939052583749,0.7344048813857224,-0.0015341711980266792,0.0521645415324343,0.0747581085711965,0.022593567038762197,0.9900632917881012,negative projection delta means less disease-to-bottleneck overlap
eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,remove_sharpness_laterality,"sharpness,laterality",referable_dr,disease,0.8082296650717703,0.8022950424188814,-0.00593462265288891,0.0553782945082872,0.0832943280464073,0.027916033538120097,0.993397650718689,negative projection delta means less disease-to-bottleneck overlap
eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,remove_sharpness_laterality,"sharpness,laterality",severe_dr,disease,0.882233025865348,0.871356742107265,-0.010876283758083027,0.0359260550919913,0.0733103157865224,0.0373842606945311,0.9924900007247924,negative projection delta means less disease-to-bottleneck overlap
eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,remove_sharpness_laterality,"sharpness,laterality",removed_bottleneck_mean,bottleneck,0.9377633174613444,0.21761111726644938,-0.720152200194895,,,,,negative AUC delta means removed bottlenecks are less decodable
