run,target,target_family,positive_class,negative_class,auc,balanced_accuracy,accuracy,train_positive,train_negative,test_positive,test_negative,n_train,n_test,split_strategy
eyepacs_cropped_dinov2_cropped_10k,any_dr,disease,true,false,0.735939052583749,0.6748880267237893,0.707,2189,5811,554,1446,8000,2000,group_shuffle
eyepacs_cropped_dinov2_cropped_10k,referable_dr,disease,true,false,0.8082296650717703,0.7382212215029553,0.7785,1627,6373,385,1615,8000,2000,group_shuffle
eyepacs_cropped_dinov2_cropped_10k,severe_dr,disease,true,false,0.882233025865348,0.74847850893876,0.944,339,7661,88,1912,8000,2000,group_shuffle
eyepacs_cropped_dinov2_cropped_10k,sharpness_high_vs_low,quality,high,low,0.998121634922689,0.9880866949793928,0.988118811881188,1953,2066,509,501,4019,1010,group_shuffle
eyepacs_cropped_dinov2_cropped_10k,brightness_high_vs_low,quality,high,low,0.9998482852237792,0.9929951690821256,0.993006993006993,1938,2058,506,495,3996,1001,group_shuffle
eyepacs_cropped_dinov2_cropped_10k,contrast_high_vs_low,quality,high,low,0.9902289830576684,0.9467604330154132,0.946840521564694,2004,2006,502,495,4010,997,group_shuffle
eyepacs_cropped_dinov2_cropped_10k,black_border_high_vs_low,quality,high,low,0.998221970465828,0.9980154515486952,0.998017839444995,2006,2033,522,487,4039,1009,group_shuffle
eyepacs_cropped_dinov2_cropped_10k,field_of_view_high_vs_low,quality,high,low,1.0,0.998991935483871,0.999003984063745,2024,2021,496,508,4045,1004,group_shuffle
eyepacs_cropped_dinov2_cropped_10k,laterality_right_vs_left,anatomy,right,left,0.877405,0.81,0.81,4000,4000,1000,1000,8000,2000,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,any_dr,disease,true,false,0.7344048813857224,0.6765407872332989,0.711,2189,5811,554,1446,8000,2000,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,referable_dr,disease,true,false,0.8022950424188814,0.7345744039242491,0.779,1627,6373,385,1615,8000,2000,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,severe_dr,disease,true,false,0.871356742107265,0.7334537847090148,0.936,339,7661,88,1912,8000,2000,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,sharpness_high_vs_low,quality,high,low,0.1666882345328988,0.2552890290146622,0.2554455445544554,1953,2066,509,501,4019,1010,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,brightness_high_vs_low,quality,high,low,0.9998203377650018,0.9919850680720246,0.992007992007992,1938,2058,506,495,3996,1001,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,contrast_high_vs_low,quality,high,low,0.9889774236387784,0.9488228902571532,0.9488465396188566,2004,2006,502,495,4010,997,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,black_border_high_vs_low,quality,high,low,0.9980803574940798,0.9970575971425648,0.9970267591674926,2006,2033,522,487,4039,1009,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,field_of_view_high_vs_low,quality,high,low,0.9999761874523748,0.999015748031496,0.999003984063745,2024,2021,496,508,4045,1004,group_shuffle
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,laterality_right_vs_left,anatomy,right,left,0.268534,0.331,0.331,4000,4000,1000,1000,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_10k,any_dr,disease,true,false,0.7311056019094127,0.675731883298131,0.705,2189,5811,554,1446,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_10k,referable_dr,disease,true,false,0.8104089099754734,0.7444654416790639,0.779,1627,6373,385,1615,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_10k,severe_dr,disease,true,false,0.8812999239254469,0.7424638645872955,0.9325,339,7661,88,1912,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_10k,sharpness_high_vs_low,quality,high,low,0.998384370747699,0.9861063727162572,0.986138613861386,1953,2066,509,501,4019,1010,group_shuffle
eyepacs_resized_dinov2_resized_10k,brightness_high_vs_low,quality,high,low,0.9998762326825568,0.9939613526570048,0.994005994005994,1938,2058,506,495,3996,1001,group_shuffle
eyepacs_resized_dinov2_resized_10k,contrast_high_vs_low,quality,high,low,0.9902289830576684,0.949748480824178,0.9498495486459378,2004,2006,502,495,4010,997,group_shuffle
eyepacs_resized_dinov2_resized_10k,black_border_high_vs_low,quality,high,low,0.9999921326126808,0.9989733059548256,0.9990089197224976,2006,2033,522,487,4039,1009,group_shuffle
eyepacs_resized_dinov2_resized_10k,field_of_view_high_vs_low,quality,high,low,1.0,0.998991935483871,0.999003984063745,2024,2021,496,508,4045,1004,group_shuffle
eyepacs_resized_dinov2_resized_10k,laterality_right_vs_left,anatomy,right,left,0.880487,0.808,0.808,4000,4000,1000,1000,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,disease,true,false,0.729135771030254,0.6760189942627739,0.703,2189,5811,554,1446,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,disease,true,false,0.8048860118209964,0.7377226488681596,0.7745,1627,6373,385,1615,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,severe_dr,disease,true,false,0.8692944085203499,0.7311002282236592,0.9315,339,7661,88,1912,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,sharpness_high_vs_low,quality,high,low,0.1640216619805575,0.2454031034198793,0.2455445544554455,1953,2066,509,501,4019,1010,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,brightness_high_vs_low,quality,high,low,0.9997963828003354,0.9929732103645148,0.993006993006993,1938,2058,506,495,3996,1001,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,contrast_high_vs_low,quality,high,low,0.9903738581029418,0.9488088051833072,0.9488465396188566,2004,2006,502,495,4010,997,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,black_border_high_vs_low,quality,high,low,0.9983793182122148,0.9980154515486952,0.998017839444995,2006,2033,522,487,4039,1009,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,field_of_view_high_vs_low,quality,high,low,1.0,0.998991935483871,0.999003984063745,2024,2021,496,508,4045,1004,group_shuffle
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,laterality_right_vs_left,anatomy,right,left,0.275958,0.3315,0.3315,4000,4000,1000,1000,8000,2000,group_shuffle
eyepacs_resized_dinov2_resized_2k,any_dr,disease,true,false,0.6682402475200152,0.639708462250008,0.7025,401,1199,107,293,1600,400,group_shuffle
eyepacs_resized_dinov2_resized_2k,referable_dr,disease,true,false,0.668235294117647,0.6285714285714286,0.76,295,1305,85,315,1600,400,group_shuffle
eyepacs_resized_dinov2_resized_2k,severe_dr,disease,true,false,0.8067305445197476,0.6222248188829166,0.9525,68,1532,11,389,1600,400,group_shuffle
eyepacs_resized_dinov2_resized_2k,sharpness_high_vs_low,quality,high,low,0.99940919295758,0.989129150419473,0.9891304347826086,374,420,91,93,794,184,group_shuffle
eyepacs_resized_dinov2_resized_2k,brightness_high_vs_low,quality,high,low,0.9992982456140352,0.9804511278195488,0.98,383,395,95,105,778,200,group_shuffle
eyepacs_resized_dinov2_resized_2k,contrast_high_vs_low,quality,high,low,0.9785148514851484,0.9352475247524752,0.9353233830845772,422,387,101,100,809,201,group_shuffle
eyepacs_resized_dinov2_resized_2k,black_border_high_vs_low,quality,high,low,0.999632285346571,0.9852914138628424,0.985645933014354,417,399,111,98,816,209,group_shuffle
eyepacs_resized_dinov2_resized_2k,field_of_view_high_vs_low,quality,high,low,1.0,1.0,1.0,403,409,94,118,812,212,group_shuffle
eyepacs_resized_dinov2_resized_2k,laterality_right_vs_left,anatomy,right,left,0.8010999999999999,0.75,0.75,800,800,200,200,1600,400,group_shuffle
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,any_dr,disease,true,false,0.652323689834455,0.6499473700998373,0.7175,401,1199,107,293,1600,400,group_shuffle
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,referable_dr,disease,true,false,0.6667413632119514,0.6419234360410832,0.7675,295,1305,85,315,1600,400,group_shuffle
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,severe_dr,disease,true,false,0.8226221079691516,0.6235101659266183,0.955,68,1532,11,389,1600,400,group_shuffle
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,sharpness_high_vs_low,quality,high,low,0.99881838591516,0.989247311827957,0.9891304347826086,374,420,91,93,794,184,group_shuffle
